Tanggal,Proyeksi Kurs (IDR),CI 5% (IDR),CI 95% (IDR),Std (IDR)
2026-06-01,17878,17690,18065,113.9
2026-06-02,17878,17613,18142,161.0
2026-06-03,17878,17553,18202,197.2
2026-06-04,17878,17503,18252,227.7
2026-06-05,17878,17459,18296,254.6
2026-06-08,17878,17419,18336,278.9
2026-06-09,17878,17382,18373,301.2
