Tanggal,Proyeksi Kurs (IDR),CI 5% (IDR),CI 95% (IDR),Std (IDR)
2026-06-01,17878,17873,17885,3
2026-06-02,17878,17870,17888,5
2026-06-03,17879,17868,17889,6
2026-06-04,17880,17867,17892,7
2026-06-05,17881,17868,17893,7
2026-06-08,17882,17867,17896,8
2026-06-09,17882,17866,17897,9
