Tanggal,Prediksi Kurs (IDR)
2026-05-25,17720
2026-05-26,17731
2026-05-27,17739
2026-05-28,17746
2026-05-29,17752
2026-06-01,17759
2026-06-02,17765
2026-06-03,17770
2026-06-04,17775
2026-06-05,17780
2026-06-08,17785
2026-06-09,17790
2026-06-10,17795
2026-06-11,17799
2026-06-12,17804
2026-06-15,17809
2026-06-16,17813
2026-06-17,17818
2026-06-18,17822
2026-06-19,17827
2026-06-22,17832
2026-06-23,17836
2026-06-24,17841
2026-06-25,17845
2026-06-26,17850
2026-06-29,17854
2026-06-30,17859
2026-07-01,17863
2026-07-02,17868
2026-07-03,17873
