Tanggal,Proyeksi Kurs (IDR),CI 5% (IDR),CI 95% (IDR),Std (IDR)
2026-06-01,17878,17877,17878,0
2026-06-02,17878,17877,17878,0
2026-06-03,17878,17877,17878,0
2026-06-04,17878,17877,17878,0
2026-06-05,17878,17877,17878,0
2026-06-08,17878,17877,17878,0
2026-06-09,17878,17877,17878,0
